Food Name,State,Type,Allergic Ingredients,Total Calories,Category
Aloo Posto,West Bengal,Veg,None,150,Meal
Shorshe Ilish,West Bengal,Non-Veg,None,300,Meal
Chingri Malai Curry,West Bengal,Non-Veg,None,350,Meal
Bhetki Paturi,West Bengal,Non-Veg,None,250,Meal
Dhokar Dalna,West Bengal,Veg,None,200,Meal
Cholar Dal,West Bengal,Veg,None,180,Meal
Beguni,West Bengal,Veg,None,250,Meal
Murgi Korma,West Bengal,Non-Veg,None,400,Meal
Kosha Mangsho,West Bengal,Non-Veg,None,350,Meal
Mishti Doi,West Bengal,Veg,Dairy,180,Meal
Kachori,West Bengal,Veg,Gluten,220,Meal
Chingri Bhorta,West Bengal,Non-Veg,None,290,Meal
Bangalir Bhorta,West Bengal,Veg,None,200,Meal
Shukto,West Bengal,Veg,None,150,Meal
Luchi Aloo,West Bengal,Veg,Gluten,300,Meal
Macher Jhol,West Bengal,Non-Veg,None,250,Meal
Aloo Dum,West Bengal,Veg,None,200,Meal
Chingri Malai,West Bengal,Non-Veg,None,320,Meal
Khichuri,West Bengal,Veg,None,250,Meal
Patishapta,West Bengal,Veg,"Dairy, Gluten",180,Meal
Rasgulla,West Bengal,Veg,Dairy,250,Meal
Sandesh,West Bengal,Veg,Dairy,150,Meal
Mutton Rezala,West Bengal,Non-Veg,None,400,Meal
Pulao,West Bengal,Veg,None,250,Meal
Jhalmuri,West Bengal,Veg,None,200,Meal
Paturi,West Bengal,Non-Veg,None,270,Meal
Paatishapta,West Bengal,Veg,Dairy,200,Meal
Shingara,West Bengal,Veg,Gluten,240,Meal
Chingri Malai,West Bengal,Non-Veg,None,350,Meal
Ghoogni,West Bengal,Veg,None,180,Meal
Kacha Mango Chutney,West Bengal,Veg,None,100,Meal
Tandoori Murg,West Bengal,Non-Veg,None,300,Meal
Kacha Aam er Chatni,West Bengal,Veg,None,120,Meal
Labra,West Bengal,Veg,None,200,Meal
Paturi Bhetki,West Bengal,Non-Veg,None,280,Meal
Sukto,West Bengal,Veg,None,170,Meal
Methi Thepla,West Bengal,Veg,Gluten,220,Meal
Vegetable Chop,West Bengal,Veg,None,250,Meal
Murgir Korma,West Bengal,Non-Veg,None,350,Meal
Bhapa Ilish,West Bengal,Non-Veg,None,280,Meal
Moong Dal,West Bengal,Veg,None,150,Meal
Biryani,West Bengal,Non-Veg,None,400,Meal
Chingri Malai,West Bengal,Non-Veg,None,350,Meal
Murgir Kasha,West Bengal,Non-Veg,None,400,Meal
Kolkata Kachori,West Bengal,Veg,Gluten,220,Meal
Aloo Bharta,West Bengal,Veg,None,180,Meal
Chingri Bhorta,West Bengal,Non-Veg,None,290,Meal
Patishapta,West Bengal,Veg,Dairy,200,Meal
Cholar Dal,West Bengal,Veg,None,180,Meal
Ghoogni,West Bengal,Veg,None,190,Meal
Patishapta,West Bengal,Veg,Dairy,200,Meal
Mughlai Paratha,West Bengal,Veg,Gluten,300,Breakfast
Ghoogni,West Bengal,Veg,None,200,Meal
Aloo Keema,Uttarakhand,Non-Veg,None,350,Meal
Bhatt Ki Churkani,Uttarakhand,Veg,None,300,Meal
Chainsoo,Uttarakhand,Veg,None,250,Meal
Kumaoni Raita,Uttarakhand,Veg,Dairy,150,Meal
